"station_id","station_name","climate_id","prov"
1932,"MINISTIK LAKE","3014560","AB"
1933,"MINISTIK RESEARCH","3014563","AB"
1934,"MINISTIK SANCTUARY","3014565","AB"
1935,"MONITOR","3014600","AB"
1936,"NACO","3014760","AB"
1937,"NEUTRAL VALLEY","3014783","AB"
1938,"NEW BRIGDEN","3014785","AB"
1939,"NEW BRIGDEN EAST","3014788","AB"
1940,"NEWBROOK","3014800","AB"
1941,"NEWBROOK NORTH","3014803","AB"
1942,"NORTH COOKING LAKE","3014870","AB"
1943,"O CHIESE LO","3014912","AB"
1944,"OLIVER TREE NURSERY","3014922","AB"
1945,"ONOWAY","3014926","AB"
1946,"PAKAN","3014975","AB"
1947,"PARADISE VALLEY","3014995","AB"
1948,"PARADISE VALLEY WEST","3014996","AB"
1949,"PINE RIDGE C3","3015K2K","AB"
1950,"PEMUKAN","3015165","AB"
1951,"PONOKA","3015280","AB"
1952,"PONOKA SOUTH","3015283","AB"
1953,"POPLAR GLEN","3015287","AB"
1954,"PRAIRIE CREEK RS","3015295","AB"
1955,"PROVOST","3015311","AB"
1956,"RADWAY","3015345","AB"
1957,"RANFURLY","3015400","AB"
1958,"RANFURLY 2NW","3015405","AB"
1959,"RICINUS","3015493","AB"
1960,"RIVERCOURSE","3015500","AB"
1961,"ROCKY MTN HOUSE","3015520","AB"
1962,"ROCKY MTN HOUSE A","3015522","AB"
1963,"ROCKY MOUNTAIN HOUSE","3015530","AB"
1964,"ROCKY RAPIDS","3015535","AB"
1965,"ST VINCENT SOUTHEAST","30156H6","AB"
1966,"RYLEY","3015640","AB"
1967,"ST LINA","3015672","AB"
1968,"ST PAUL EXP ST","3015680","AB"
1969,"ST VINCENT","3015685","AB"
1970,"SEDALIA","3015798","AB"
1971,"SEDALIA EAST","3015799","AB"
1972,"SHALKA LAKE NE","30158GR","AB"
1973,"SEDGEWICK","3015800","AB"
1974,"SEDGEWICK TOWN","3015808","AB"
1975,"SHALKA LAKE","3015879","AB"
1976,"SION","3015960","AB"
1977,"VEGREVILLE","3016GF0","AB"
1978,"SOUNDING CREEK","3016052","AB"
1979,"SPRUCE GROVE","3016083","AB"
1980,"STETTLER NORTH","3016119","AB"
1981,"STETTLER","3016120","AB"
1982,"STRACHAN RS","3016180","AB"
1983,"STRY","3016225","AB"
1984,"SULLIVAN LAKE","3016253","AB"
1985,"SYLVAN HEIGHTS","3016328","AB"
1986,"TELFORDVILLE","3016370","AB"
1987,"THORHILD","3016400","AB"
1988,"THORHILD VILLAGE","3016405","AB"
1989,"THORSBY","3016440","AB"
1990,"TOFIELD NORTH","3016494","AB"
1991,"TULLIBY LAKE","3016590","AB"
1992,"TULLIBY LAKE EAST","3016591","AB"
1993,"TULLIBY LAKE NORTH","3016592","AB"
1994,"TWO HILLS","3016648","AB"
1995,"VEGREVILLE","3016760","AB"
1996,"VEGREVILLE CDA","3016761","AB"
1997,"VERMILION","3016790","AB"
1998,"VERMILION A","3016800","AB"
1999,"VERMILION RIVER","3016807","AB"
2000,"VERMILION UNION","3016810","AB"
2001,"VETERAN","3016817","AB"
2002,"VIKING","3016840","AB"
2003,"VIKING NORTH","3016843","AB"
2004,"VILNA","3016850","AB"
2005,"WABAMUN","3016900","AB"
2006,"WAINWRIGHT","3016930","AB"
2007,"WAINWRIGHT","3016931","AB"
2008,"WAINWRIGHT HEATH","3016932","AB"
2009,"WARWICK","3016954","AB"
2010,"WASKATENAU","3016958","AB"
2011,"WASTINA HEMARUKA","3016960","AB"
2012,"WASTINA YOUNGSTOWN","3016965","AB"
2013,"WESTEROSE","3017257","AB"
2014,"WESTEROSE 2","3017258","AB"
2015,"WETASKIWIN","3017280","AB"
2016,"WETASKIWIN SOUTH","3017286","AB"
2017,"WINFIELD","3017595","AB"
2018,"WINTERBURN KOZAK","3017606","AB"
2019,"WINTERBURN LAKESHORE A","3017608","AB"
2020,"WOSTOK","3017665","AB"
2021,"YEOFORD","3017685","AB"
2022,"YOUNGSTOWN","3017700","AB"
2023,"HOADLEY","302CCDB","AB"
2024,"OLDS CLARKE","302D920","AB"
2025,"THREE HILLS SOUTH","302F4HF","AB"
2026,"KEYSTONE LO","302L643","AB"
2027,"OLDS ERICKSON","302M920","AB"
2028,"SHEERNESS CARAGANA","302NH8L","AB"
2029,"ARNESON","3020L01","AB"
2030,"ACADIA VALLEY","3020018","AB"
2031,"ACADIA VALLEY EXP ST","3020020","AB"
2032,"ACADIA VALLEY CDA EPF","3020022","AB"
2033,"ACADIA VALLEY MACTAVISH","3020025","AB"
2034,"ACADIA VALLEY VANDYNE","3020031","AB"
2035,"ACME CDA EPF","3020040","AB"
2036,"ALIX","3020120","AB"
2037,"ALIX","3020121","AB"
2038,"ALSASK","3020220","AB"
2039,"ANTLER HILL","3020250","AB"
2040,"ATLEE","3020401","AB"
2041,"BASHAW","302053E","AB"
2042,"BEARBERRY","3020550","AB"
2043,"BEISEKER VILLAGE","3020608","AB"
2044,"BENALTO","3020620","AB"
2045,"BERRY CREEK","3020636","AB"
2046,"BIG STONE","3020676","AB"
2047,"BIG VALLEY","3020677","AB"
2048,"BIG VALLEY WEST","3020678","AB"
2049,"BINDLOSS","3020680","AB"
2050,"BINDLOSS EAST","3020690","AB"
2051,"BINDLOSS EXP ST","3020696","AB"
2052,"BISMARK","3020702","AB"
2053,"BLINDMAN","3020715","AB"
2054,"BLOOD INDIAN CREEK","3020717","AB"
2055,"BLUFFTON","3020730","AB"
2056,"BOWDEN","3020760","AB"
2057,"BROOKS ONE TREE","3020864","AB"
2058,"BUFFALO","3020952","AB"
2059,"BULLPOUND CREEK","3020973","AB"
2060,"BURNSTICK LO","3020975","AB"
2061,"CALENDULA SIBBALD","3021010","AB"
2062,"CAPPON SOUTH","3021290","AB"
2063,"CARBON","3021309","AB"
2064,"CARIBOU MTN LO","3021330","AB"
2065,"CARSTAIRS WEST","3021368","AB"
2066,"CEREAL","3021460","AB"
2067,"CESSFORD","3021465","AB"
2068,"CRAIGMYLE","3021940","AB"
2069,"CREMONA","3021943","AB"
2070,"CROSSFIELD","3021950","AB"
2071,"DELIA","3022060","AB"
2072,"DICKSON DAM","3022078","AB"
2073,"DIDSBURY","3022083","AB"
2074,"DIDSBURY ELKTON","3022084","AB"
2075,"DOG POUND","3022092","AB"
2076,"DOWLING LAKE","3022108","AB"
2077,"DRUMHELLER","3022120","AB"
2078,"DRUMHELLER ANDREW","3022136","AB"
2079,"DRUMHELLER INSTITUTION","3022137","AB"
2080,"DRUMHELLER CITY","3022139","AB"
2081,"DUCHESS","3022143","AB"
2082,"EAST BERRY CREEK","3022154","AB"
2083,"ECKVILLE","3022158","AB"
2084,"ECKVILLE SOUTH","3022159","AB"
2085,"ELNORA","3022325","AB"
2086,"EMPRESS","3022400","AB"
2087,"EMPRESS DOT","3022402","AB"
2088,"ESTHER","3022460","AB"
2089,"EVARTS","3022485","AB"
2090,"EXCEL","3022500","AB"
2091,"FINNEGAN","3022616","AB"
2092,"GEM","3022772","AB"
2093,"GHOST PINE CREEK","3022778","AB"
2094,"HOMESTEAD CREEK","3023L4M","AB"
2095,"HANNA","3023000","AB"
2096,"HARMATTAN","3023055","AB"
2097,"HILLSDOWN","3023280","AB"
2098,"HUSSAR","3023400","AB"
2099,"HUTTON EXP ST","3023420","AB"
2100,"HUXLEY","3023422","AB"
2101,"HUXLEY EAST","3023423","AB"
2102,"IDDESLEIGH","3023430","AB"
2103,"JENNER","3023560","AB"
2104,"KNEEHILL","3023665","AB"
2105,"LAMERTON","30237FM","AB"
2106,"LACOMBE CDA","3023720","AB"
2107,"LESLIEVILLE CDA EPF","3023800","AB"
2108,"LOBSTICK AUBUCHON","3023971","AB"
2109,"LONE PINE CREEK","3023982","AB"
2110,"OYEN AIRPORT","3024R60","AB"
2111,"LOUSANA","3024000","AB"
2112,"MADDEN","3024150","AB"
2113,"MARKERVILLE","3024210","AB"
2114,"MICHICHI CREEK","30245KL","AB"
2115,"MIRROR FLETCHER","3024572","AB"
2116,"MORNINGSIDE","3024664","AB"
2117,"MORRIN","3024665","AB"
2118,"MOUND","3024680","AB"
2119,"OAKLAND LAKE","3024906","AB"
2120,"OLDS","3024920","AB"
2121,"OYEN","3024960","AB"
2122,"OYEN CAPPON","3024961","AB"
2123,"OYEN CARA","3024962","AB"
2124,"PANDORA EXP ST","3024980","AB"
2125,"PINE LAKE NORTH","3025K22","AB"
2126,"PATRICIA","3025010","AB"
2127,"PERBECK","3025170","AB"
2128,"PINE LAKE","3025222","AB"
2129,"POLLOCKVILLE","3025240","AB"
2130,"PRENTISS","3025296","AB"
2131,"REDLAND","30254RJ","AB"
2132,"RED DEER","3025440","AB"
2133,"RED DEER","3025441","AB"
2134,"RED DEER A","3025480","AB"
2135,"RIMBEY","3025494","AB"
2136,"ROSEBUD","3025543","AB"
2137,"SCAPA","3025762","AB"
2138,"SCHULER","3025764","AB"
2139,"SCOLLARD","3025766","AB"
2140,"SCOTFIELD","3025770","AB"
2141,"SIBBALD","3025920","AB"
2142,"SIBBALD 2","3025921","AB"
2143,"SIBBALD EAST","3025925","AB"
2144,"SIBBALD WESTGARD","3025928","AB"
2145,"SLEEPY HOLLOW","3026009","AB"
2146,"SPRINGDALE","3026080","AB"
2147,"STANMORE EXP ST","3026090","AB"
2148,"STAUFFER","3026095","AB"
2149,"SUNDRE","3026258","AB"
2150,"SUNDRE GARRINGTON","3026259","AB"
2151,"SUNDRE RS","3026260","AB"
2152,"SUNNYNOOK","3026263","AB"
2153,"SUNSET","3026265","AB"
2154,"SWALWELL","3026275","AB"
2155,"SYLVAN LAKE","3026330","AB"
2156,"THREE HILLS","3026480","AB"
2157,"THREE HILLS EAST","3026484","AB"
2158,"THREE HILLS RILLING IHD","3026486","AB"
2159,"THREE HILLS TOWN","3026487","AB"
2160,"TROCHU 2","3026521","AB"
2161,"TROCHU EQUITY","3026530","AB"
2162,"TROCHU TOWN","3026540","AB"
2163,"TROCHU WIMBORNE","3026550","AB"
2164,"TWO BAR LAKE","3026646","AB"
2165,"WESTWARD HO","3027260","AB"
2166,"WIMBORNE GAS PLANT","3027580","AB"
2167,"COCHRANE VE6CQC","303AFGF","AB"
2168,"CALGARY ELBOW VIEW","303A0Q6","AB"
2169,"KEOMA","303C642","AB"
2170,"OKOTOKS BIG ROCK","303D9JN","AB"
2171,"SPRINGBANK A","303F0PP","AB"
2172,"HIGH RIVER TOWERS","303L24K","AB"
2173,"OKOTOKS","303M9JM","AB"
2174,"PICTURE BUTTE WEST","303N1G3","AB"
2175,"BATTLE CREEK LO","3030E39","AB"
2176,"BLACKIE","3030GAA","AB"
2177,"BLACKIE 2W","3030GJJ","AB"
2178,"BLACKIE NORTH","3030GJ1","AB"
2179,"BLACKIE NW","3030PAJ","AB"
2180,"BROOKS","3030QLP","AB"
2181,"AIRDRIE","3030060","AB"
2182,"ARMADA EXP ST","3030300","AB"
2183,"ARROWWOOD","3030302","AB"
2184,"BARONS EXP ST","3030530","AB"
2185,"BARONS EXP ST 2","3030531","AB"
2186,"BASSANO DAM","3030537","AB"
2187,"BASSANO GEM","3030538","AB"
2188,"BIG COULEE","3030665","AB"
2189,"BOW ISLAND EXP ST","3030770","AB"
2190,"BOW ISLAND RIVERS DEV","3030773","AB"
2191,"BOWNESS","3030775","AB"
2192,"BRAGG CREEK WEST","3030796","AB"
2193,"BRANT","3030798","AB"
2194,"BROOKS","3030838","AB"
2195,"BROOKS 1","3030840","AB"
2196,"BROOKS AHRC","3030856","AB"
2197,"BROOKS NORTH","3030862","AB"
2198,"CLARESHOLM NORTH","3031FN6","AB"
2199,"COCHRANE CATHCART","3031FPF","AB"
2200,"CLARESHOLM MEADOW CREEK","3031F5F","AB"
2201,"CALDWELL","3031000","AB"
2202,"CALGARY BEARSPAW","3031083","AB"
2203,"CALGARY BELLEVIEW","3031084","AB"
2204,"CALGARY GLENMORE DAM","3031090","AB"
2205,"CALGARY INT'L A","3031093","AB"
2206,"CALGARY POPLAR GARDENS","3031102","AB"
2207,"CALGARY SIMONS VALLEY","3031105","AB"
2208,"CALGARY SPRINGBANK","3031107","AB"
2209,"CALGARY SPRINGBANK","3031108","AB"
2210,"CAMERON COULEE","3031151","AB"
2211,"CARDSTON","3031320","AB"
2212,"CARDSTON EXP ST","3031328","AB"
2213,"CARMANGAY","3031338","AB"
2214,"CARMANGAY EXP ST","3031340","AB"
2215,"CARMANGAY EXP ST 2","3031341","AB"
2216,"CARMANGAY EXP ST 3","3031342","AB"
2217,"CARMANGAY PLAINFIELD","3031345","AB"
2218,"CARMANGAY VILLAGE","3031348","AB"
2219,"CARWAY","3031400","AB"
2220,"CAYLEY","3031450","AB"
2221,"CHAIN LAKES RS","3031476","AB"
2222,"CHESTERMERE LAKE SOUTH","3031524","AB"
2223,"CLARESHOLM LAING","30316NF","AB"
2224,"CLARESHOLM","3031640","AB"
2225,"CLARESHOLM EXP FARM","3031652","AB"
2226,"CLARESHOLM EXP ST","3031656","AB"
2227,"CLARESHOLM WATERWORKS","3031658","AB"
2228,"COALDALE","3031668","AB"
2229,"COALDALE EXP ST","3031670","AB"
2230,"COCHRANE","3031676","AB"
2231,"CONNELLY CREEK","3031805","AB"
2232,"COWLEY","3031918","AB"
2233,"COWLEY A","3031920","AB"
2234,"COWLEY CREEBANK RANCH","3031924","AB"
2235,"COWLEY OLIN CREEK","3031926","AB"
2236,"DE WINTON","3032074","AB"
2237,"ENCHANT","3032420","AB"
2238,"FORT MACLEOD NORTH","30326QF","AB"
2239,"FIVE MILE CREEK","3032624","AB"
2240,"FOREMOST","3032640","AB"
2241,"FOREMOST EAST","3032645","AB"
2242,"FOREMOST EXP ST","3032650","AB"
2243,"FORT MACLEOD","3032680","AB"
2244,"FORT MACLEOD EXP ST","3032685","AB"
2245,"FORT MACLEOD EXP ST 2","3032686","AB"
2246,"FORT MACLEOD STAND OFF","3032690","AB"
2247,"GLEICHEN","3032800","AB"
2248,"GLENWOODVILLE EXP ST","3032820","AB"
2249,"GRANUM JUMBO VALLEY","3032924","AB"
2250,"GRASSY LAKE","3032928","AB"
2251,"GRASSY LAKE RIVERS DEV","3032930","AB"
2252,"HAYS","3033080","AB"
2253,"HERRONTON","3033137","AB"
2254,"HERRONTON EAST","3033138","AB"
2255,"HIGH RIVER","3033240","AB"
2256,"HIGH RIVER RADIO","3033242","AB"
2257,"HIGH RIVER TOWN","3033243","AB"
2258,"HILL SPRING","3033281","AB"
2259,"IRON SPRINGS EXP ST","3033500","AB"
2260,"JUMPING POUND","3033572","AB"
2261,"KYISKAP CREEK","3033675","AB"
2262,"LETHBRIDGE","3033879","AB"
2263,"LETHBRIDGE A","3033880","AB"
2264,"LETHBRIDGE BEGAMY","3033885","AB"
2265,"LETHBRIDGE CDA","3033890","AB"
2266,"LETHBRIDGE COUNTY","3033895","AB"
2267,"LLOYD LAKE","3033956","AB"
2268,"LOMOND","3033979","AB"
2269,"LOMOND EXP ST","3033980","AB"
2270,"MAGRATH","3034160","AB"
2271,"MAGRATH 2","3034162","AB"
2272,"MAJORVILLE","3034166","AB"
2273,"MEDICINE HAT A","3034480","AB"
2274,"MEDICINE LODGE LO","3034489","AB"
2275,"MILLARVILLE","3034552","AB"
2276,"MONARCH","3034596","AB"
2277,"MOSSLEIGH","3034675","AB"
2278,"MOSSLEIGH BURNAY","3034676","AB"
2279,"MOUNTAIN VIEW","3034720","AB"
2280,"NOBLEFORD","3034818","AB"
2281,"NOBLEFORD EXP ST","3034820","AB"
2282,"OKOTOKS","3034915","AB"
2283,"OKOTOKS EAST","3034916","AB"
2284,"OWENDALE","3034950","AB"
2285,"PICTURE BUTTE","3035173","AB"
2286,"PINCHER CREEK","3035201","AB"
2287,"PINCHER CREEK A","3035202","AB"
2288,"PINCHER CREEK EXP ST","3035216","AB"
2289,"PINCHER CREEK KERR","3035218","AB"
2290,"PINCHER CRK SPRINGRIDGE","3035219","AB"
2291,"PINCHER CREEK TOWN","3035220","AB"
2292,"PINCHER CREEK WEST","3035221","AB"
2293,"POKAPPINI","3035233","AB"
2294,"PRIDDIS","3035301","AB"
2295,"QUEENSTOWN","3035340","AB"
2296,"RAINIER","3035350","AB"
2297,"RALSTON","3035360","AB"
2298,"RAYMOND","3035420","AB"
2299,"REDCLIFF","3035434","AB"
2300,"RONALANE","3035540","AB"
2301,"SEVEN PERSONS","3035840","AB"
2302,"SEVEN PERSONS RIVERS DEV","3035850","AB"
2303,"SHAUGHNESSY","3035880","AB"
2304,"SPRINGBANK A","3036078","AB"
2305,"SPY HILL","3036084","AB"
2306,"STANDARD","3036085","AB"
2307,"STAVELY CDA","3036100","AB"
2308,"STAVELY EXP ST 2","3036102","AB"
2309,"STRATHMORE","3036200","AB"
2310,"STRATHMORE EAST","3036208","AB"
2311,"SUFFIELD","3036235","AB"
2312,"SUFFIELD A","3036240","AB"
2313,"SUFFIELD HAMLET","3036241","AB"
2314,"SUFFIELD SOUTH","3036242","AB"
2315,"TABER","3036360","AB"
2316,"TURIN","3036618","AB"
2317,"TURIN EXP ST","3036620","AB"
2318,"TURNER VALLEY","3036640","AB"
2319,"TURNER VALLEY RS","3036641","AB"
2320,"UNIVERSITY OF CALGARY","3036652","AB"
2321,"VAUXHALL","3036680","AB"
2322,"VAUXHALL CDA","3036681","AB"
2323,"VAUXHALL NORTH","3036690","AB"
2324,"VULCAN","3036880","AB"
2325,"VULCAN","3036881","AB"
2326,"WHITLA","3037520","AB"
2327,"WINNIFRED","3037600","AB"
2328,"WOODHOUSE","3037650","AB"
2329,"KETCHUM CREEK","304CFDC","AB"
2330,"FLORANN","304KFL0","AB"
2331,"ADEN","3040049","AB"
2332,"ALTAWAN","3040223","AB"
2333,"BONNIE VIEW","3040735","AB"
2334,"COUTTS","3041908","AB"
2335,"COUTTS EXP ST","3041910","AB"
2336,"DEL BONITA","3042040","AB"
2337,"DEL BONITA","3042041","AB"
2338,"DEL BONITA EXP ST","3042056","AB"
2339,"EAGLE BUTTE","3042148","AB"
2340,"GLASSFORD","3042793","AB"
2341,"GROTON","3042960","AB"
2342,"KNAPPEN EXP ST","3043660","AB"
2343,"KNIGHT LAKE","3043667","AB"
2344,"LUCKY STRIKE","3044070","AB"
2345,"MANYBERRIES CDA","3044200","AB"
2346,"MANYBERRIES CREEK","3044204","AB"
2347,"MASINASIN","3044230","AB"
2348,"MILK RIVER","3044534","AB"
2349,"MILK RIVER EXP ST","3044540","AB"
2350,"MILK R VERDIGRIS L","3044550","AB"
2351,"MILK R VERDIGRIS L","3044551","AB"
2352,"POTHOLE MCINTYRE","3045293","AB"
2353,"THELMA CREEK","3046376","AB"
2354,"WARNER","3046950","AB"
2355,"WARNER EAST","3046952","AB"
2356,"WARNER WEST","3046953","AB"
2357,"WHISKEY GAP","3047365","AB"
2358,"WRITING ON STONE PARK","3047670","AB"
2359,"DAVID THOMPSON RESORT","305A9N4","AB"
2360,"CLARESHOLM TROUT CREEK","305J65G","AB"
2361,"MIETTE HOT SPRINGS","305MNKM","AB"
2362,"ANTHRACITE","3050240","AB"
2363,"BALDY LO","3050490","AB"
2364,"BANFF","3050520","AB"
2365,"BIGHORN DAM","30506GN","AB"
2366,"BEAVER MINES","3050600","AB"
2367,"BLAIRMORE HQTS RS","30507AC","AB"
2368,"BLUEHILL LO","3050725","AB"
2369,"BOB CREEK","3050731","AB"
2370,"BOW VALLEY PROV PARK","3050779","AB"
2371,"BURNT TIMBER LO","3050978","AB"
2372,"CLARESHOLM LYNDON CREEK","3051F56","AB"
2373,"CAMERON FALLS","3051165","AB"
2374,"CANMORE","3051260","AB"
2375,"CARBONDALE LO","3051310","AB"
2376,"CASTLE MOUNTAIN VILLAGE","3051424","AB"
2377,"CASTLE","3051430","AB"
2378,"CHUNGO LO","3051585","AB"
2379,"CLINE LO","30516F5","AB"
2380,"CLINE LO","3051665","AB"
2381,"COLEMAN","3051720","AB"
2382,"COLEMAN RS","3051725","AB"
2383,"COLUMBIA ICEFIELD","3051740","AB"
2384,"COWLEY TODD CREEK","3051928","AB"
2385,"EISENHOWER JUNCTION","3052255","AB"
2386,"ELBOW RS","3052270","AB"
2387,"EXSHAW","3052508","AB"
2388,"FORGET ME NOT LO","3052653","AB"
2389,"FORTRESS MOUNTAIN","3052705","AB"
2390,"FURMAN CLARESHOLM","3052745","AB"
2391,"GHOST RS","3052780","AB"
2392,"GRAVE FLATS LO","3052940","AB"
2393,"HAILSTONE BUTTE LO","3052995","AB"
2394,"HIGHWOOD HOUSE","3053249","AB"
2395,"HIGHWOOD AU (B1)","3053250","AB"
2396,"IRONSTONE LO","3053505","AB"
2397,"JASPER","3053519","AB"
2398,"JASPER","3053520","AB"
2399,"JASPER WEST GATE","3053538","AB"
2400,"JUNCTION LO","3053575","AB"
2401,"KAKWA NOTUS","3053587","AB"
2402,"KANANASKIS","3053600","AB"
2403,"KANANASKIS BOUNDARY RS","3053602","AB"
2404,"KANANASKIS POCATERRA","3053604","AB"
2405,"KANANASKIS LO","3053605","AB"
2406,"KISKA LO","3053649","AB"
2407,"KOOTENAY PLAINS","3053668","AB"
2408,"KOOTENAY PLAINS RS","3053670","AB"
2409,"LAKE LOUISE","3053760","AB"
2410,"LIVINGSTONE","3053925","AB"
2411,"LIVINGSTONE LO","3053926","AB"
2412,"LONGVIEW","3053985","AB"
2413,"LUNDBRECK","3054080","AB"
2414,"LYNDON","3054120","AB"
2415,"MAYCROFT","3054250","AB"
2416,"MOCKINGBIRD LO","3054592","AB"
2417,"MOOSE MTN LO","3054655","AB"
2418,"MOUNTAIN AIRE LODGE","3054700","AB"
2419,"MOUNTAIN VIEW BIRDSEYE","3054722","AB"
2420,"MOUNT EISENHOWER","3054730","AB"
2421,"MOUNT KIDD LO","3054732","AB"
2422,"NORDEGG","3054840","AB"
